6276.590	24
6276.633	24
6276.818	21
6276.938	8
6277.312	26
6277.419	27
6277.470	27
6277.525	27
6277.638	19
6277.785	8
6278.073	52
6278.126	52
6278.374	4
6278.374	4
6278.878	22
6279.101	27
6279.233	4
6279.506	2
6279.896	23
6280.393	26
6280.890	2
6281.178	20
6281.781	1
6281.956	22
6282.726	22
6283.796	12
6284.536	6
6287.749	13
6289.398	15
6290.221	21
6292.162	19
6292.958	25
6295.178	23
6295.960	24
6298.457	22
6299.228	30
6302.000	23
6302.764	21
6305.81		18
6306.565	17
6309.886	22
6310.636	12
6314.235	10
6314.977	11
6318.853	5
6319.591	5
6323.75		5
6324.479	4
6328.913	3
6329.636	3
6334.358	3
6335.072	4

